FrageNr;Frage;Frage_Bild1;Frage_Bild1_scale;Frage_Bild2;Frage_Bild2_scale;AntwortA;AntwortA_Bild;AntwortA_Bild_scale;AntwortB;AntwortB_Bild;AntwortB_Bild_scale;AntwortC;AntwortC_Bild;AntwortC_Bild_scale;AntwortD;AntwortD_Bild;AntwortD_Bild_scale
TH135;Wenn man diese Mehrband-Antenne auf 14 MHz erregt, dann wirken die LC-Resonanzkreise;th135_a.jpg;1.0;;;wie eine kapazitive Verkürzung des Strahlers.;;;als Sperrkreise für die Erregerfrequenz.;;;wie eine induktive Verlängerung des Strahlers.;;;wie eine Vergrößerung des Strahlungswiderstands der Antenne.;;
TH136;Das folgende Bild stellt einen Dreiband-Dipol für die Frequenzbänder 20, 15 und 10 Meter dar. Die mit B gekennzeichneten Schwingkreise sind auf;th136_a.jpg;1.0;;;29,0 MHz abgestimmt.;;;10,1 MHz abgestimmt.;;;14,2 MHz abgestimmt.;;;21,2 MHz abgestimmt.;;
TH137;Das folgende Bild stellt einen Dreiband-Dipol für die Frequenzbänder 20, 15 und 10 Meter dar. Die mit A gekennzeichneten Schwingkreise sind auf;th137_a.jpg;1.0;;;21,2 MHz abgestimmt.;;;10,1 MHz abgestimmt.;;;14,2 MHz abgestimmt.;;;29,0 MHz abgestimmt.;;
TH138;Welche Antenne ist hier dargestellt und wozu dient der Kondensator?;th138_a.jpg;1.0;;;λ/4-Groundplane mit Verkürzungskondensator;;;λ/2-Groundplane mit λ/4-Verkürzungskondensator;;;λ/4-Sperrtopfantenne mit Verlängerungskondensator;;;λ/4-Kreuzdipol mit kapazitiv verkürztem λ/4- Vertikalstrahler;;
TH139;Die Radiale einer Groundplane-Antenne bezeichnet man auch als;;;;;Gegengewichte.;;;künstliche Strahler.;;;Parasitärstrahler.;;;Blitzschutzelemente.;;
TH140;Jeweils eine Seite einer Quad-Antenne ist in Resonanz mit;;;;;einer Viertelwelle.;;;einer Halbwelle.;;;dreiviertel einer Wellenlänge.;;;einer ganzen Wellenlänge.;;
TH141;Das folgende Bild enthält eine einfache Richtantenne. Die Bezeichnungen der Elemente in numerischer Reihenfolge lauten;th141_a.jpg;1.0;;;1 Reflektor, 2 Strahler und 3 Direktor.;;;1 Strahler, 2 Direktor und 3 Reflektor.;;;1 Direktor, 2 Strahler und 3 Reflektor.;;;1 Direktor, 2 Reflektor und 3 Strahler.;;
TH142;An welchem Element einer Yagi-Antenne erfolgt die Energieeinspeisung? Sie erfolgt;;;;;am Dipol.;;;am Direktor.;;;am Reflektor.;;;an Dipol und Reflektor.;;
TH143;Der Anbau von Reflektoren und einem Direktor an einen Faltdipol;;;;;verringert die Impedanz.;;;erhöht die Impedanz.;;;hat keinen Einfluss auf die Impedanz.;;;verhindert Rückwärtsstrahlung.;;
TH144;Durch den Einbau zusätzlicher Direktoren in eine Richtstrahlantenne wird deren;;;;;Keulenbreite verringert.;;;Keulenbreite erhöht.;;;Strahlungswiderstand erhöht.;;;Vor-Rück-Verhältnis verringert.;;
TH145;Die Impedanz des Strahlers eines Multibandbeams richtet sich auch nach;;;;;den Abständen zwischen den Direktoren und Reflektoren.;;;dem Strahlungswiderstand des Reflektors.;;;dem Widerstand des Zuführungskabels.;;;den Ausbreitungsbedingungen.;;
TH146;Wie wirken parasitäre Elemente von Antennen?;;;;;Sie geraten in Resonanz und strahlen einen Teil der aufgenommenen Leistung phasenverschoben wieder ab. Die dabei zusammenwirkenden Komponenten ermöglichen, dass die Abstrahlung in einer Richtung gebündelt wird.;;;Sie sind in Wellenwiderstand und Länge so bemessen, dass sie als Phasenleitungen wirken. Dadurch kann bei der Zusammenschaltung von Antennen rechts- oder linksdrehende zirkulare Polarisation erzeugt werden.;;;Sie geraten in Resonanz und strahlen einen Teil der aufgenommenen Leistung phasenverschoben wieder ab. Dies bewirkt die gleichmäßige Verteilung der Energie in alle Richtungen.;;;Sie sind in Wellenwiderstand und Länge so bemessen, dass sie als Impedanztransformatoren wirken. Damit wird eine Zusammenschaltung mehrerer Antennen ermöglicht.;;
TH147;Dieses Strahlungsdiagramm ist typisch für;th147_a.jpg;1.0;;;eine Richtstrahlantenne.;;;einen Halbwellendipol.;;;einen Viertelwellenstrahler.;;;eine Marconi-Antenne.;;
TH148;Bei einer Yagi-Antenne mit dem folgenden Strahlungsdiagramm beträgt die ERP in Richtung A 0,6 Watt und in Richtung B 15 Watt. Welches Vor-Rück-Verhältnis hat die Antenne?;th148_a.jpg;1.0;;;14 dB;;;27,9 dB;;;2,8 dB;;;25 dB;;
TH149;Eine Richtantenne mit einem Gewinn von 10 dB über dem Halbwellendipol und einem Vor-Rück-Verhältnis von 20 dB wird mit 100 Watt Senderleistung direkt gespeist. Welche ERP strahlt die Antenne entgegengesetzt zur Senderichtung ab?;;;;;10 Watt;;;100 Watt;;;0,1 Watt;;;1 Watt;;
TH150;Eine Richtantenne mit einem Gewinn von 15 dB über dem Halbwellendipol und einem Vor-Rück-Verhältnis von 25 dB wird mit 6 Watt Senderleistung direkt gespeist. Welche ERP strahlt die Antenne entgegengesetzt zur Senderichtung ab?;;;;;0,6 Watt;;;0,019 Watt;;;0,19 Watt;;;60 Watt;;
TH151;Um die Möglichkeit unerwünschter Abstrahlungen mit Hilfe eines angepassten Antennensystems zu verringern, empfiehlt es sich;;;;;einen Antennentuner oder ein Filter zu verwenden.;;;mit einem hohen Stehwellenverhältnis zu arbeiten.;;;die Gleichstrom-Speisespannung zu überwachen.;;;eine Mehrbandantenne zu verwenden.;;
TH152;Bei welcher der nachfolgend genannten Antennenkonfigurationen ist eine Abstrahlung von der Speiseleitung am wenigsten wahrscheinlich?;;;;;Bei einem mit symmetrischer Speiseleitung mittengespeisten Dipol.;;;Bei einem mit doppelt geschirmten Koaxialkabel mittengespeisten Dipol.;;;Bei einer L-Antenne mit senkrechter Speiseleitung.;;;Bei einer endgespeisten Langdrahtantenne mit direkt angeschlossener Speiseleitung.;;
TH153;Welcher Standort ist für eine HF-Richtantenne am besten geeignet, um mögliche Beeinflussungen bei den Geräten des Nachbarn zu vermeiden?;;;;;So hoch und weit weg wie möglich.;;;An der Seitenwand zum Nachbarn.;;;Auf dem Dach, wobei die Dachfläche des Nachbarn mit abgedeckt werden sollte.;;;So niedrig und nah am Haus wie möglich.;;
TH154;Eine λ/4-Groundplane-Antenne mit vier Radials soll für 7,1 MHz aus Drähten gefertigt werden. Für Strahler und Radials kann mit einem Korrekturfaktor von 0,95 gerechnet werden. Wie lang müssen Strahler und Radials sein?;;;;;Strahler: 10,03 m, Radials: 10,03 m;;;Strahler: 10,56 m, Radials: 21,13 m;;;Strahler: 21,13 m, Radials: 10,56 m;;;Strahler: 10,03 m, Radials: 20,07 m;;
TH155;Eine λ/2-Dipol-Antenne soll für 7,1 MHz aus Draht gefertigt werden. Wie lang müssen die beiden Drähte der Dipolantenne sein? Es soll hier mit einem Korrekturfaktor von 0,95 gerechnet werden.;;;;;Je 10,03 m;;;Je 10,56 m;;;Je 20,07 m;;;Je 21,13 m;;
TH156;Eine λ/2-Dipol-Antenne soll für 14,2 MHz aus Draht gefertigt werden. Es kann mit einem Korrekturfaktor von 0,95 gerechnet werden. Wie lang müssen die beiden Drähte der Dipolantenne sein?;;;;;Je 5,02 m;;;Je 10,56 m;;;Je 10,03 m;;;Je 5,28 m;;
TH157;Ein Drahtdipol hat eine Gesamtlänge von 20,00 m. Für welche Frequenz ist der Dipol in Resonanz, wenn mit einem Korrekturfaktor von 0,95 gerechnet werden kann?;;;;;7,12 MHz;;;6,77 MHz;;;7,50 MHz;;;7,00 MHz;;
TH158;Ein Drahtdipol hat eine Gesamtlänge von 21,00 m. Für welche Frequenz ist der Dipol in Resonanz, wenn mit einem Korrekturfaktor von 0,95 gerechnet werden kann?;;;;;6,78 MHz;;;7,14 MHz;;;7,51 MHz;;;7,00 MHz;;
TH159;Eine Delta-Loop-Antenne mit einer vollen Wellenlänge soll für 7,1 MHz aus Draht hergestellt werden. Es kann mit einem Korrekturfaktor von 0,95 gerechnet werden. Wie lang muss der Draht insgesamt sein?;;;;;40,14 m;;;42,25 m;;;20,07 m;;;21,13 m;;
TH160;Eine λ-5/8-Antenne (gegen Erde) soll für 14,2 MHz aus Draht hergestellt werden. Es soll mit einem Korrekturfaktor von 0,97 gerechnet werden. Wie lang muss der Vertikaldraht insgesamt sein?;;;;;12,80 m;;;13,20 m;;;10,03 m;;;13,61 m;;
TH201;Der Strahlungswiderstand einer Antenne;;;;;entspricht dem für einen bestimmten Antennenpunkt berechneten Ersatzwiderstand, der die von der Antenne abgestrahlte Leistung verbrauchen würde.;;;ist die an einem bestimmten Antennenpunkt auftretende Antennenimpedanz, die auch immer die nicht zur Strahlung beitragenden Verlustwiderstände der Antenne beinhaltet.;;;ist ein Blindwiderstand, der zur Anpassung der Antenne verwendet wird.;;;ergibt sich aus der abgestrahlten Leistung dividiert durch das Quadrat der HF-Spannung am Antenneneingang und kann für beliebige Punkte der Antenne angegeben werden.;;
TH202;Welchen Eingangs- bzw. Fußpunktwiderstand hat ein Faltdipol?;;;;;ca. 240 bis 300 Ω;;;ca. 30 bis 60 Ω;;;ca. 60 Ω;;;ca. 120 Ω;;
TH203;Welchen Eingangs- bzw. Fußpunktwiderstand hat eine Groundplane?;;;;;ca. 30 bis 50 Ω;;;ca. 60 bis 120 Ω;;;ca. 600 Ω;;;ca. 240 Ω;;
TH204;Welchen Eingangs- bzw. Fußpunktwiderstand hat ein λ/2-Dipol bei seiner Grundfrequenz und hinreichender Höhe über dem Boden?;;;;;ca. 60 bis 75 Ω;;;ca. 30 Ω;;;ca. 120 Ω;;;ca. 240 bis 300 Ω;;
TH205;Welche Impedanz hat ein λ/2-Dipol unterhalb und oberhalb seiner Grundfrequenz?;;;;;Unterhalb der Grundfrequenz ist die Impedanz kapazitiv, oberhalb induktiv.;;;Unterhalb der Grundfrequenz ist die Impedanz induktiv, oberhalb kapazitiv.;;;Unterhalb der Grundfrequenz ist die Impedanz niedriger, oberhalb höher.;;;Unterhalb der Grundfrequenz ist die Impedanz höher, oberhalb niedriger.;;
TH206;Das folgende Bild zeigt das Richtdiagramm einer Dipol- und einer Yagi-Antenne. Der Antennengewinn der Yagi-Antenne über dem Dipol ist definiert als;th206_a.jpg;1.0;;;das Verhältnis von Pv zu PD .;;;das Verhältnis von PD zu PR .;;;das Verhältnis von Pv zu PR .;;;das Verhältnis von 0,7 * Pv zu 0,7 * PR.;;
TH207;Das folgende Bild zeigt das Richtdiagramm einer Dipol- und einer Yagi-Antenne. Das Vor-/Rück-Verhältnis der Yagi-Antenne ist definiert;th207_a.jpg;1.0;;;als das Verhältnis von Pv zu PR .;;;als das Verhältnis von PD zu PR .;;;als das Verhältnis von Pv zu PD .;;;als das Verhältnis von 0,7 * Pv zu 0,7 * PD .;;
TH208;Der Gewinn von Antennen wird häufig in dBi angegeben. Auf welche Vergleichsantenne bezieht man sich dabei? Man bezieht sich dabei auf den;;;;;isotropen Kugelstrahler.;;;Halbwellenstrahler.;;;horizontalen Rundstrahler.;;;vertikalen Rundstrahler.;;
TH209;Ein Antennenhersteller gibt den Gewinn einer Antenne mit 5 dBd an. Wie groß ist der Gewinn der Antenne in dBi?;;;;;7,15 dBi;;;5 dBi;;;2,5 dBi;;;2,85 dBi;;
TH210;Warum ist eine λ-5/8-Antenne besser als eine λ/4-Antenne für VHF-UHF-Mobilbetrieb geeignet?;;;;;Sie hat mehr Gewinn.;;;Sie verträgt mehr Leistung.;;;Sie ist leichter zu montieren.;;;Sie ist weniger störanfällig.;;
TH211;Die Halbwertsbreite einer Antenne ist der Winkelbereich, innerhalb dem;;;;;die Feldstärke auf nicht weniger als den 0,707-fachen Wert der maximalen Feldstärke absinkt.;;;die Feldstärke auf nicht weniger als die Hälfte der maximalen Feldstärke absinkt.;;;die Strahlungsdichte auf nicht weniger als den 1 / √2-fachen Wert der maximalen Strahlungsdichte absinkt.;;;die abgestrahlte Leistung auf nicht weniger als den 1 / √2-fachen Wert des Leistungsmaximums absinkt.;;
TH212;In dem folgenden Richtdiagramm sind auf der Skala der relativen Feldstärke E / Emax die Punkte A bis D markiert. Durch welchen der Punkte A bis D ziehen Sie mit einem Zirkel den Kreisbogen, um die Halbwertsbreite der Antenne an den Schnittpunkten des Kreises mit der Keule ablesen zu können?;th212_a.jpg;1.0;;;Durch den Punkt C.;;;Durch den Punkt B.;;;Durch den Punkt D.;;;Durch den Punkt A.;;
TH213;Die folgende Skizze zeigt das Horizontaldiagramm der relativen Feldstärke einer horizontalen Yagiantenne. Wie groß ist im vorliegenden Fall die Halbwertsbreite (Öffnungswinkel)?;th213_a.jpg;1.0;;;Etwa 55°.;;;Etwa 34°.;;;Etwa 69°.;;;Etwa 27°.;;
TH214;Warum muss eine Antenne mechanisch immer etwas kürzer als der theoretisch errechnete Wert sein?;;;;;Weil sich diese Antenne nicht im idealen freien Raum befindet und weil sie nicht unendlich dünn ist. Kapazitive Einflüsse der Umgebung und der Durchmesser des Strahlers verlängern die Antenne elektrisch. Dies wird durch eine mechanische Verkürzung ausgeglichen.;;;Weil sich diese Antenne nicht im idealen freien Raum befindet und weil die Antennenelemente nicht die Idealform des Kugelstrahlers besitzen. Kapazitive Einflüsse der Umgebung und die Abweichung von der idealen Kugelform verlängern die Antenne elektrisch. Dies wird durch eine mechanische Verkürzung ausgeglichen.;;;Weil sich durch die mechanische Verkürzung die elektromagnetischen Wellen leichter von der Antenne ablösen. Dadurch steigt der Wirkungsgrad, so dass größere Reichweiten (DX-Verbindungen) möglich werden.;;;Weil sich durch die mechanische Verkürzung der Verlustwiderstand eines Antennenstabes verringert. Dadurch steigt der Wirkungsgrad, so dass größere Reichweiten (DX-Verbindungen) möglich werden.;;
TH215;Bei einer Drahtantenne bewirkt eine Erhöhung der Drahtlänge;;;;;eine Verringerung der Resonanzfrequenz.;;;die Erhöhung der Güte.;;;eine Vergrößerung der Belastbarkeit.;;;eine Erhöhung der Resonanzfrequenz.;;
TH216;Die Polarisation einer Antenne;;;;;wird nach der Ausrichtung der elektrischen Feldkomponente in der Hauptstrahlrichtung in Bezug zur Erdoberfläche angegeben.;;;wird nach der Ausrichtung der magnetischen Feldkomponente in der Hauptstrahlrichtung in Bezug zur Erdoberfläche angegeben.;;;entspricht der Richtung der magnetischen Feldkomponente des empfangenen oder ausgesendeten Feldes in Bezug auf die Nordrichtung (Azimut).;;;entspricht der Richtung der elektrischen Feldkomponente des empfangenen oder ausgesendeten Feldes in Bezug auf die Nordrichtung (Azimut).;;
TH217;Mit welcher Polarisation wird auf den Kurzwellenbändern meistens gesendet?;;;;;Es wird meist mit horizontaler oder vertikaler Polarisation gesendet.;;;Es wird meist mit horizontaler oder zirkularer Polarisation gesendet.;;;Es wird meist mit vertikaler oder zirkularer Polarisation gesendet.;;;Es wird nur mit horizontaler Polarisation gesendet.;;
TH218;Wie wird die Polarisation einer elektromagnetischen Welle bei der Ausbreitung über die Raumwelle beeinflusst?;;;;;Die in der Ionosphäre reflektierten Wellen sind -unabhängig von der Polarisation der ausgesendeten Wellen- meist elliptisch polarisiert.;;;Die Polarisation der ausgesendeten Wellen bleibt bei der Reflexion in der Ionosphäre stets unverändert.;;;Die Polarisation der ausgesendeten Wellen wird in der Ionosphäre auf Grund des Faraday-Effektes stets um 90° gedreht.;;;Die Polarisation der ausgesendeten Wellen wird bei jedem Sprung (Hop) in der Ionosphäre auf Grund des Faraday-Effektes um 90° gedreht.;;
TH219;Für die Erzeugung von zirkularer Polarisation mit Yagi-Antennen wird eine horizontale und eine dazu um 90 Grad um die Strahlungsachse gedrehte Yagi-Antenne zusammengeschaltet. Was ist dabei zu beachten, damit tatsächlich zirkulare Polarisation entsteht?;;;;;Bei einer der Antennen muss die Welle um λ/4 verzögert werden. Dies kann entweder durch eine zusätzlich eingefügte Viertelwellen-Verzögerungsleitung oder durch mechanische 'Verschiebung' beider Yagi-Antennen um λ/4 gegeneinander hergestellt werden.;;;Bei einer der Antennen muss die Welle um λ/2 verzögert werden. Dies kann entweder durch eine zusätzlich eingefügte λ/2-Verzögerungsleitung oder durch mechanische 'Verschiebung' beider Yagi-Antennen um λ/2 gegeneinander hergestellt werden.;;;Die Zusammenschaltung der Antennen muss über eine Halbwellen-Lecherleitung erfolgen. Zur Anpassung an den Wellenwiderstand muss zwischen der Speiseleitung und den Antennen noch ein λ/4-Transformationsstück eingefügt werden.;;;Die kreuzförmig angeordneten Elemente der beiden Antennen sind um 45° zu verdrehen, so dass in der Draufsicht ein liegendes Kreuz gebildet wird. Die Antennen werden über Leitungsstücke gleicher Länge parallel geschaltet. Die Anpassung erfolgt mit einem Symmetrierglied.;;
TH220;Eine Antenne hat ein Stehwellenverhältnis (VSWR) von 3. Wie viel Prozent der vorlaufenden Leistung werden von der Zuleitung auf die Antenne übertragen?;;;;;75%;;;50%;;;25%;;;29%;;
TH221;Ein Kabel mit einem Wellenwiderstand von 75 Ω und vernachlässigbarer Dämpfung wird zur Speisung einer Faltdipol-Antenne verwendet. Welches VSWR kann man auf der Leitung erwarten?;;;;;ca. 3,2 bis 4;;;0,3;;;ca. 1,5 bis 2;;;5,7;;
TH222;Welches Strahlungsdiagramm ist der richtigen Antennenbezeichnung zugeordnet?;;;;;Dipol;th222_a.jpg;1.0;Groundplane;th222_b.jpg;1.0;Yagi;th222_c.jpg;1.0;Sperrtopf;th222_d.jpg;1.0
TH223;Welches Strahlungsdiagramm ist der richtigen Antennenbezeichnung zugeordnet?;;;;;Yagi;th223_a.jpg;1.0;Groundplane;th223_b.jpg;1.0;Dipol;th223_c.jpg;1.0;Sperrtopf;th223_d.jpg;1.0
TH224;Welches Strahlungsdiagramm ist der richtigen Antennenbezeichnung zugeordnet?;;;;;Groundplane;th224_a.jpg;1.0;Sperrtopf;th224_b.jpg;1.0;Dipol;th224_c.jpg;1.0;Yagi;th224_d.jpg;1.0
TH225;Ein Sender mit 0,6 Watt Ausgangsleistung ist über eine Antennenleitung, die 1 dB Kabelverluste hat, an eine Richtantenne mit 11 dB Gewinn (auf den Dipol bezogen) angeschlossen. Welche EIRP wird von der Antenne maximal abgestrahlt?;;;;;9,8 Watt;;;5,4 Watt;;;12,7 Watt;;;7,8 Watt;;
TH226;Ein Sender mit 5 Watt Ausgangsleistung ist über eine Antennenleitung, die 2 dB Kabelverluste hat, an eine Richtantenne mit 5 dB Gewinn (auf den Dipol bezogen) angeschlossen. Welche EIRP wird von der Antenne maximal abgestrahlt?;;;;;16,4 Watt;;;8,2 Watt;;;41,2 Watt;;;9,98 Watt;;
TH227;Ein Sender mit 8,5 Watt Ausgangsleistung ist über eine Antennenleitung, die 1,5 dB Kabelverluste hat, an eine Antenne mit 0 dB Gewinn (auf den Dipol bezogen) angeschlossen. Welche EIRP wird von der Antenne maximal abgestrahlt?;;;;;9,9 Watt;;;19,7 Watt;;;12,0 Watt;;;6,0 Watt;;
TH228;An einen Sender mit 100 W Ausgangsleistung ist eine Antenne mit einem Gewinn von 11 dBi angeschlossen. Die Dämpfung des Kabels beträgt 1 dB. Wie hoch ist die äquivalente Strahlungsleistung (EIRP)?;;;;;1000 Watt;;;100 Watt;;;111 Watt;;;1110 Watt;;
TH229;An einen Sender mit 100 W Ausgangsleistung ist eine Dipolantenne angeschlossen. Die Dämpfung des Kabels beträgt 10 dB. Wie hoch ist die äquivalente isotrope Strahlungsleistung (EIRP)?;;;;;16,4 Watt;;;90 Watt;;;164 Watt;;;10 Watt;;
TH230;Eine im Außenbereich installierte Sendeantenne wird immer bevorzugt, da;;;;;die Kopplung mit der Netzspannungsverkabelung auf ein Minimum beschränkt ist.;;;sie in geringerem Ausmaß Ausstrahlungen unterworfen ist.;;;sie eine geringere Anzahl von Harmonischen abstrahlt.;;;das Sendesignal einen niedrigeren Pegel aufweist.;;
TH231;Eine Langdrahtantenne mit einer senkrechten Speiseleitung in der Nähe eines Hauses;;;;;kann unerwünschte Signale in TV-Koaxialkabel induzieren.;;;induziert keine Störungen in horizontalen Antennen.;;;erzeugt keine unerwünschten Signale in horizontal verlegten Stromleitungen.;;;erzeugt ein Summen im Stromversorgungsnetz.;;
TH232;Mit einem Feldstärkemessgerät wurden Vergleichsmessungen zwischen Beam und Dipol durchgeführt. In einem Abstand von 32 m wurden folgende Feldstärken gemessen: Beam vorwärts: 300 µV / m, Beam rückwärts: 20 µV / m, Halbwellendipol in Hauptstrahlrichtung: 128 µV / m. Welcher Gewinn und welches Vor-Rück-Verhältnis ergibt sich daraus für den Beam?;;;;;Gewinn: 7,4 dBd, Vor-Rück-Verhältnis: 23,5 dB;;;Gewinn: 3,7 dBd, Vor-Rück-Verhältnis: 11,7 dB;;;Gewinn: 9,4 dBd, Vor-Rück-Verhältnis: 23,5 dB;;;Gewinn: 7,4 dBd, Vor-Rück-Verhältnis: 15 dB;;
TH301;Der Wellenwiderstand einer Leitung;;;;;ist im HF-Bereich in etwa konstant.;;;ist völlig frequenzunabhängig.;;;hängt von der Beschaltung am Leitungsende ab.;;;hängt von der Leitungslänge und der Beschaltung am Leitungsende ab.;;
TH302;Eine Übertragungsleitung gilt als richtig angepasst, wenn der Widerstand, mit dem sie abgeschlossen ist,;;;;;den Wert des Wellenwiderstandes aufweist.;;;50 Ω beträgt.;;;reell ist.;;;eine offene Leitung darstellt.;;
TH303;Im Amateurfunk übliche Koaxialkabel weisen typischerweise Wellenwiderstände von;;;;;50, 60 und 75 Ω auf.;;;50, 300 und 600 Ω auf.;;;60, 120 und 240 Ω auf.;;;50, 75 und 240 Ω auf.;;
